id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type
3jUhC1S0gWYOdzoCR1WY0m,Neredesin Sen,59,track,False,False,236800,1,1,1afML5pJuVr3ye8TGyYcV2,Neşet Ertaş,1afML5pJuVr3ye8TGyYcV2,Neşet Ertaş,3HKgl0kXmv1978YXP6quuM,Acem Kızı,2007-06-21,13,album
48BDdjRPUJLjqj7nVmrg4d,Tarifi Zor,50,track,False,False,212015,1,2,4T83el9VQDI0zOyU9zcYNq,Soner Sarıkabadayı,4T83el9VQDI0zOyU9zcYNq,Soner Sarıkabadayı,0PZQQ2j1HRb42tOq1a5RE4,Boza Boza,2018-06-29,2,album
3yYHAwO4K7AYGyPCsObCtl,Nilüfer,65,track,False,False,258159,1,5,4cMwyqmHCwJjRZ3frIVHTr,Müslüm Gürses,4cMwyqmHCwJjRZ3frIVHTr,Müslüm Gürses,1Pyi09AHFTRrTDj94bW1wh,Aşk Tesadüfleri Sever (Mucize ve Buluşma),2006,14,album
7LvKzEWqBGCNQ13NBKOXOE,Sen Gel Diyorsun (Öf Öf),60,track,False,False,284928,1,10,2AWUCT9xtcvkjpFq1ZgpPj,Cem Adrian,2AWUCT9xtcvkjpFq1ZgpPj,Cem Adrian,2SQcd5fzlpbItgs6AyAsHx,Essentials / Seçkiler 2,2016-01-15,11,album
7nUTIsWxDaQ22kesjXHkzU,Unutmaya Ömrüm Yeter Mi,43,track,False,False,322333,1,3,2Cusk8DpjH8r3BDvuN3ufo,Ümit Besen,2Cusk8DpjH8r3BDvuN3ufo,Ümit Besen,339bMEEShoUjgd4xfaqMGP,Hadi Git,1997-03-21,10,album
7qrg1jlR3PUTgMf2ce5Epy,Duyanlara Duymayanlara,46,track,False,False,356896,1,10,0Aoou2kIWXrzTOfhFzmNqa,Halil Sezai,0Aoou2kIWXrzTOfhFzmNqa,Halil Sezai,1an3O1h6A52S9FpPDZPILM,Ervah-ı Ezel,2015-01-22,11,album
4H2weqlqv2TvfGrMQ7ptEs,Herkes Öldürür Sevdiğini,53,track,False,False,116622,1,7,2l0Ol9ASKE7E196nHpblB7,Toygar Işıklı,2l0Ol9ASKE7E196nHpblB7,Toygar Işıklı,5iH8L5bkvNffK3glcLd2JV,Ezel (Original TV Series Soundtrack),2011-04-16,36,album
2ku3NlYr2TeStsQycJk8Pf,Minnet Eylemem,48,track,False,False,186122,1,6,2NGRETzxjeN4b9o3OGY6Yn,Selda Bağcan,2NGRETzxjeN4b9o3OGY6Yn,Selda Bağcan,2MOzNXZ1OdWPVqH01iXttA,Felek Beni Adım Adım Kovaladı,1989-01-01,14,album
1yM52Bl72mXkklrUrXJ84F,Bu Gece Karakolluk Olabilirim,53,track,False,False,302573,1,1,2E7qpjo4NUBhV8tEUdPVkJ,Azer Bülbül,2E7qpjo4NUBhV8tEUdPVkJ,Azer Bülbül,74G7GKJoOX7kd3ekEptAGb,Duygularım,2011-12-19,12,album
2q8vclTTgpUkrNvsyBmYCs,Giderim,53,track,False,False,281379,1,1,1Y2FwScblyMxpLTrNdfwyU,Ahmet Kaya,1Y2FwScblyMxpLTrNdfwyU,Ahmet Kaya,27dDxMGawvjeKQ2aYWfPRI,Dosta Düşmana Karşı,1998-03-06,12,album
3MDm04xRZ4dPtur3L7qVeW,Odam Kireç Tutmuyor,42,track,False,False,183560,1,9,5JiRFs54W65l4k97s66Eef,Fatih Kısaparmak,5JiRFs54W65l4k97s66Eef,Fatih Kısaparmak,098KYnDkszMnrqa4jhxj1X,Ben İki Kere Ağladım,2004-06-11,11,album
4IaTyEJhqQB1YCCXtTKPLr,Sanki,48,track,False,False,240490,1,9,6wxh9aTFgTS4OiyYlnQBq6,Bengü,6wxh9aTFgTS4OiyYlnQBq6,Bengü,2ttZU15rxEjwF9WsBTESp3,Altın Çağ,2017-06-07,11,album
6LsEFIJbyi6wjnloe7fQmT,Gittin Gideli,45,track,False,False,190066,1,9,0oFiWQjHNvksJlD0aWzBZM,Edip Akbayram,0oFiWQjHNvksJlD0aWzBZM,Edip Akbayram,1vnlaULHy3eYO8BM5GMMVF,Türküler Yanmaz,1994-08-16,10,album
